evaluations raw_y current_y raw_y_best current_y_best violation penalty n_evals x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
18 4477541.4717585491 4477541.4717585491 4800.0000000000 4843.9000000000 22387.7073587927 0.0000000000 0.0000000000 0.613742 0.449078 0.727944 0.627925 0.013687 0.837554 0.999294 0.671571 0.159500 0.728315 0.738468 0.700906 0.427163 0.757320 0.615670
19 24400.0000000000 24400.0000000000 4800.0000000000 4843.9000000000 122.0000000000 0.0000000000 0.0000000000 0.873678 0.917767 0.655945 0.827531 0.479694 0.599584 0.574389 0.936692 0.167552 0.787867 0.996917 0.935970 0.512628 0.959861 0.690270
20 1.0391918271 83.7391918271 1.0391918271 83.7391918271 0.2297222222 82.7000000000 1.0000000000 0.392960 0.319356 0.861520 0.914116 0.358158 0.733400 0.706023 0.554631 0.393606 0.558054 0.797604 0.990402 0.865749 0.874387 0.941716
21 400.0000000000 504.5000000000 1.0391918271 83.7391918271 2.2902777778 104.5000000000 1.0000000000 0.461929 0.000047 0.975949 0.947661 0.619051 0.975910 0.998139 0.627972 0.062936 0.800669 0.589835 0.645280 0.849783 0.725046 0.999063
22 13442.2205101856 13497.6205101856 1.0391918271 83.7391918271 67.3649914398 55.4000000000 1.0000000000 0.539841 0.362638 0.676261 0.917966 0.540467 0.508391 0.876710 0.722613 0.276326 0.722379 0.886028 0.593317 0.640927 0.980441 0.771428
23 9024.4113381428 9091.5113381428 1.0391918271 83.7391918271 45.3084455796 67.1000000000 1.0000000000 0.292624 0.075659 0.682687 0.999789 0.622257 0.223248 0.996798 0.671686 0.324167 0.355726 0.906380 0.588972 0.805566 0.781278 0.994217
24 24000.0000000000 24000.0000000000 1.0391918271 83.7391918271 120.0000000000 0.0000000000 1.0000000000 0.638069 0.119704 0.586987 0.551134 0.551024 0.728239 0.999999 0.482644 0.488317 0.428911 0.914522 0.894194 0.683135 0.687887 0.968008
25 0.7125105357 1.9125105357 0.7125105357 1.9125105357 0.0033333333 1.2000000000 2.0000000000 0.199880 0.008385 0.999782 0.836401 0.545959 0.831056 0.930274 0.512093 0.396488 0.483727 0.993697 0.972594 0.718210 0.956344 0.998679
26 8000.0000000000 8116.2000000000 0.7125105357 1.9125105357 40.3227777778 116.2000000000 2.0000000000 0.678939 0.247500 0.998196 0.988560 0.571939 0.623226 0.993985 0.474898 0.198189 0.600562 0.694122 0.622585 0.995584 0.988068 0.943766
27 1600.0000000000 1672.1000000000 0.7125105357 1.9125105357 8.2002777778 72.1000000000 2.0000000000 0.353212 0.117763 0.892444 0.845570 0.699184 0.630540 0.778792 0.530152 0.228161 0.654775 0.984332 0.931387 0.861720 0.597296 0.976151
28 0.3004423924 67.0004423924 0.7125105357 1.9125105357 0.1852777778 66.7000000000 3.0000000000 0.417138 0.028581 0.862967 0.941986 0.462811 0.657801 0.931543 0.775030 0.133357 0.798532 0.828721 0.878543 0.898667 0.925744 0.860524
29 4800.0000000000 4911.6000000000 0.7125105357 1.9125105357 24.3100000000 111.6000000000 3.0000000000 0.035534 0.031335 0.511722 0.996206 0.692834 0.387088 0.942868 0.643559 0.508502 0.461644 0.798604 0.635692 0.994739 0.976130 0.953459
30 6000.0000000000 6098.8000000000 0.7125105357 1.9125105357 30.2744444444 98.8000000000 3.0000000000 0.596789 0.673832 0.928023 0.920684 0.854966 0.978430 0.991082 0.186468 0.339569 0.947935 0.801010 0.195261 0.981743 0.947049 0.828050
31 11600.0000000000 11602.1000000000 0.7125105357 1.9125105357 58.0058333333 2.1000000000 3.0000000000 0.571245 0.079394 0.803920 0.709528 0.677054 0.998240 0.840012 0.446022 0.366008 0.933786 0.983898 0.948234 0.660066 0.986022 0.771297
32 3600.0000000000 3672.2000000000 0.7125105357 1.9125105357 18.2005555556 72.2000000000 3.0000000000 0.374694 0.005303 0.686458 0.874634 0.622185 0.763280 0.997921 0.935001 0.362989 0.782818 0.638735 0.906809 0.921535 0.733176 0.937110
33 1294.4271909999 1401.9271909999 0.7125105357 1.9125105357 6.7707470661 107.5000000000 3.0000000000 0.262875 0.116728 0.657864 0.741374 0.809133 0.605535 0.956206 0.676365 0.001213 0.674164 0.572675 0.936134 0.901542 0.987624 0.895260
34 8400.0000000000 8438.5000000000 0.7125105357 1.9125105357 42.1069444444 38.5000000000 3.0000000000 0.024401 0.358161 0.870693 0.946988 0.652897 0.714266 0.828105 0.491614 0.237235 0.775070 0.531210 0.524066 0.687242 0.999985 0.555871
35 9329.5230317525 9361.8230317525 0.7125105357 1.9125105357 46.7373373810 32.3000000000 3.0000000000 0.196547 0.341638 0.730130 0.796635 0.592674 0.679599 0.857962 0.657172 0.195407 0.378529 0.941019 0.636347 0.944523 0.770396 0.952158
36 9600.0000000000 9657.8000000000 0.7125105357 1.9125105357 48.1605555556 57.8000000000 3.0000000000 0.713696 0.290614 0.868388 0.872137 0.525566 0.975405 0.656084 0.777048 0.199787 0.270483 0.701841 0.901774 0.942507 0.970079 0.945260
37 4324.0998703627 4409.8998703627 0.7125105357 1.9125105357 21.8588326851 85.8000000000 3.0000000000 0.426752 0.109143 0.761577 0.966098 0.629795 0.557632 0.659714 0.706766 0.147110 0.668067 0.549553 0.999844 0.885719 0.793433 0.849680
38 0.0646334488 140.7646334488 0.7125105357 1.9125105357 0.3908333333 140.7000000000 4.0000000000 0.387222 0.414136 0.989699 0.977026 0.789791 0.934470 0.986854 0.541541 0.155620 0.882027 0.809108 0.670321 0.553196 0.707868 0.930579
39 0.0950690576 97.9950690576 0.7125105357 1.9125105357 0.2719444444 97.9000000000 5.0000000000 0.362957 0.105939 0.930471 0.869349 0.550461 0.617654 0.938126 0.314235 0.336923 0.458790 0.863261 0.811320 0.838417 0.974964 0.986123
40 0.1116714431 76.8116714431 0.7125105357 1.9125105357 0.2130555556 76.7000000000 6.0000000000 0.290602 0.314486 0.962955 0.886749 0.471085 0.824896 0.903120 0.838928 0.337231 0.562335 0.794026 0.987513 0.968432 0.824258 0.879117
41 27931.3708498985 27931.3708498985 0.7125105357 1.9125105357 139.6568542495 0.0000000000 6.0000000000 0.613826 0.006892 0.911348 0.600232 0.384587 0.815286 0.992522 0.545211 0.169360 0.988395 0.998965 0.694688 0.997577 0.611934 0.981560
42 400.0000000000 511.5000000000 0.7125105357 1.9125105357 2.3097222222 111.5000000000 6.0000000000 0.193908 0.143388 0.631920 0.910086 0.390356 0.998407 0.840367 0.337441 0.346612 0.920066 0.599885 0.939913 0.687941 0.825204 0.997595
43 16484.4410203712 16530.3410203712 0.7125105357 1.9125105357 82.5497051019 45.9000000000 6.0000000000 0.059665 0.146464 0.997948 0.997818 0.469890 0.544050 0.853639 0.757576 0.096606 0.572525 0.653140 0.819208 0.969331 0.879406 0.592815
44 0.1710306557 37.8710306557 0.7125105357 1.9125105357 0.1047222222 37.7000000000 7.0000000000 0.377985 0.313547 0.985809 0.918257 0.423373 0.915776 0.978123 0.856457 0.547390 0.162647 0.900605 0.934987 0.813238 0.993733 0.576534
45 6000.0000000000 6109.0000000000 0.7125105357 1.9125105357 30.3027777778 109.0000000000 7.0000000000 0.602389 0.164462 0.999714 0.948904 0.999984 0.720484 0.952482 0.812637 0.008886 0.802852 0.701826 0.999711 0.878439 0.611376 0.798148
46 8000.0000000000 8070.0000000000 0.7125105357 1.9125105357 40.1944444444 70.0000000000 7.0000000000 0.392836 0.005501 0.913712 0.834241 0.638643 0.993959 0.934353 0.626773 0.389188 0.513250 0.858351 0.925603 0.990944 0.999982 0.957405
47 0.0849314764 83.4849314764 0.7125105357 1.9125105357 0.2316666667 83.4000000000 8.0000000000 0.183448 0.342179 0.989579 0.773461 0.433082 0.458306 0.580787 0.574830 0.476561 0.520381 0.768469 0.762380 0.999171 0.470665 0.969337
48 2400.0000000000 2467.5000000000 0.7125105357 1.9125105357 12.1875000000 67.5000000000 8.0000000000 0.117614 0.047758 0.978127 0.863225 0.594315 0.460425 0.673598 0.410529 0.251546 0.701822 0.871116 0.791820 0.634710 0.806435 0.913307
49 2961.2496949731 2971.5496949731 0.7125105357 1.9125105357 14.8348595860 10.3000000000 8.0000000000 0.352101 0.389626 0.772049 0.863277 0.210862 0.892929 0.899016 0.769339 0.555724 0.592882 0.921936 0.710821 0.957873 0.958900 0.872144
50 9476.7224051817 9508.4224051817 0.7125105357 1.9125105357 47.4716675815 31.7000000000 8.0000000000 0.298013 0.001978 0.739284 0.646407 0.292299 0.625004 0.982748 0.704006 0.647730 0.465495 0.644881 0.999347 0.742266 0.970727 0.728312
51 2097.0562748477 2163.7562748477 0.7125105357 1.9125105357 10.6705591520 66.7000000000 8.0000000000 0.438812 0.342279 0.998905 0.832830 0.387680 0.299701 0.992238 0.261344 0.428719 0.775187 0.867415 0.999917 0.734698 0.993464 0.406011
52 20895.9326185744 20896.2326185744 0.7125105357 1.9125105357 104.4804964262 0.3000000000 8.0000000000 0.085384 0.474214 0.545970 0.917502 0.834071 0.945309 0.985862 0.838088 0.149972 0.725639 0.803547 0.862336 0.501065 0.405462 0.999467
